circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
qugan_n39,12,12,372,397,452,467,386.9,462.5,19.53,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
qugan_n395,12,12,4144,4239,4958,5015,4196.1,4990.8,18.94,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
qugan_n71,12,12,721,751,863,884,732.1,872.0,19.11,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
swap_test_n115,12,12,515,530,735,744,523.8,740.2,41.34,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
swap_test_n361,12,12,1622,1637,2334,2343,1625.8,2336.2,43.7,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
swap_test_n41,12,12,182,182,254,254,182.0,254.0,39.56,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
swap_test_n83,12,12,371,371,527,527,371.0,527.0,42.05,1.0,1.0,STABLE_REGRESSION,STABLE_REGRESSION
bv_n70,12,12,100,145,138,189,119.4,153.8,28.75,0.8472,0.9755,UNSTABLE,STABLE_REGRESSION
bv_n140,12,12,226,379,312,456,304.2,401.0,31.84,0.8542,0.964,UNSTABLE,STABLE_REGRESSION
bv_n30,12,12,48,72,66,78,55.2,67.5,22.36,0.9167,0.932,UNSTABLE,UNSTABLE
adder_n64,12,12,740,768,822,847,755.2,835.8,10.68,0.6944,0.803,UNSTABLE,UNSTABLE
qft_n320,12,12,83566,172915,83566,172915,147718.4,147718.4,0.0,0.2569,0.2705,UNSTABLE,UNSTABLE
multiplier_n75,12,12,22568,25763,24332,27481,23589.9,25355.9,7.49,0.2708,0.27,UNSTABLE,UNSTABLE
multiplier_n45,12,12,7382,7924,8005,8514,7647.2,8249.2,7.87,0.2778,0.147,UNSTABLE,UNSTABLE
qft_n160,12,12,32923,42568,32923,42568,41007.2,41007.2,0.0,0.0764,0.02,UNSTABLE,STABLE_CLEAN
qft_n29,12,12,1586,1804,1586,1804,1683.9,1683.9,0.0,0.0278,0.0005,STABLE_CLEAN,STABLE_CLEAN
100,9,9,378912,382197,378912,382197,380376.3,380376.3,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
32,12,12,9948,10350,9948,10350,10150.5,10150.5,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
adder_n28,12,12,354,360,372,378,357.5,375.5,5.03,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n130,12,12,129,129,129,129,129.0,129.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n260,12,12,259,259,259,259,259.0,259.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n35,12,12,34,34,34,34,34.0,34.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n65,12,12,64,64,64,64,64.0,64.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n127,12,12,126,126,126,126,126.0,126.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n40,12,12,39,39,39,39,39.0,39.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n78,12,12,77,77,77,77,77.0,77.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_state_n255,12,12,254,254,254,254,254.0,254.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n34,12,12,66,66,66,66,66.0,66.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n42,12,12,82,82,82,82,82.0,82.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n420,12,12,838,838,838,838,838.0,838.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n66,12,12,130,130,130,130,130.0,130.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n98,12,12,194,194,194,194,194.0,194.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n350,3,3,652278,669381,693936,711203,658435.7,700143.7,6.33,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n400,2,2,871944,896462,925412,951156,884203.0,938284.0,6.12,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n63,12,12,7107,7596,7107,7596,7337.4,7337.4,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
square_root_n45,8,8,278500,279578,289832,290918,279267.6,290641.1,4.07,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
vqe_uccsd_n28,4,4,231447,231895,233081,233517,231606.5,233233.5,0.7,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n118,12,12,234,234,234,234,234.0,234.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n36,12,12,70,70,70,70,70.0,70.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n380,12,12,758,758,758,758,758.0,758.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n76,12,12,150,150,150,150,150.0,150.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
