topology,circuit,qiskit_old,qiskit_new,n_seeds_old,n_seeds_new,k,threshold,true_change_pct,p_call,ci_lo,ci_hi,ci_width,boundary_artifact,verdict,ci_method_point,ci_method_interval
heavy-hex,qugan_n395,2.0.2,2.0.0,12,12,3,0.1,5.636,0.0626,0.001,0.2908,0.2898,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,qugan_n71,2.0.2,2.0.0,12,12,3,0.1,9.672,0.4619,0.1099,0.8353,0.7254,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,swap_test_n115,2.0.2,2.0.0,12,12,3,0.1,6.873,0.1075,0.0051,0.3995,0.3944,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,swap_test_n361,2.0.2,2.0.0,12,12,3,0.1,5.724,0.0923,0.0007,0.3522,0.3516,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,swap_test_n41,2.0.2,2.0.0,12,12,3,0.1,8.34,0.3763,0.0742,0.7563,0.6821,True,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,swap_test_n83,2.0.2,2.0.0,12,12,3,0.1,6.64,0.2323,0.0112,0.6111,0.5999,False,UNSTABLE,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,wstate_n118,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,wstate_n36,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,wstate_n380,2.0.2,2.0.0,12,12,3,0.1,2.153,0.0042,0.0,0.052,0.052,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
heavy-hex,wstate_n76,2.0.2,2.0.0,12,12,3,0.1,0.0,0.0,0.0,0.0,0.0,False,STABLE_CLEAN,exact enumeration over n**k mean-triples,"percentile bootstrap over seeds, B=2000, 95.0% interval"
