topology,circuit,qiskit_old,qiskit_new,n_seeds,k,threshold,true_change_pct,ground_truth,unpaired_p,unpaired_lo,unpaired_hi,paired_p,paired_lo,paired_hi,paired_is_degenerate,bootstrap_mode,method_point,method_interval
heavy-hex,qft_n320,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,qft_n63,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0007,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,qugan_n111,2.0.0,2.0.2,12,3,0.1,-8.116,NO_REGRESSION,0.0001,0.0,0.0017,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,qugan_n39,2.0.0,2.0.2,12,3,0.1,-10.914,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,qugan_n395,2.0.0,2.0.2,12,3,0.1,-5.336,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,qugan_n71,2.0.0,2.0.2,12,3,0.1,-8.819,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,swap_test_n115,2.0.0,2.0.2,12,3,0.1,-6.431,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,swap_test_n361,2.0.0,2.0.2,12,3,0.1,-5.414,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,swap_test_n41,2.0.0,2.0.2,12,3,0.1,-7.698,NO_REGRESSION,0.0,0.0,0.0003,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,swap_test_n83,2.0.0,2.0.2,12,3,0.1,-6.227,NO_REGRESSION,0.0001,0.0,0.0028,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,wstate_n118,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,wstate_n36,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,wstate_n380,2.0.0,2.0.2,12,3,0.1,-2.108,NO_REGRESSION,0.0,0.0,0.0001,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
heavy-hex,wstate_n76,2.0.0,2.0.2,12,3,0.1,0.0,NO_REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,True,shared,exact enumeration over n**k index tuples,"percentile bootstrap over seeds, B=2000, 95.0%, shared resampling"
