topology,circuit,qiskit_old,qiskit_new,n_seeds,mean_change_pct,spearman_old_vs_ratio,spearman_p,rss_multiplicative,rss_additive,better_fit,cv_old,cv_new,cv_ratio,sd_ratio
square,cc_n64,2.0.0,2.0.2,12,-4.795,0.5831,0.0466,340.365,307.667,additive,0.03784,0.05196,1.3732,1.3073
square,dnn_n33,2.0.0,2.0.2,12,-8.36,-0.2721,0.3922,183.744,210.917,multiplicative,0.02593,0.02497,0.9627,0.8822
square,dnn_n51,2.0.0,2.0.2,12,-7.082,0.641,0.0247,1104.056,959.667,additive,0.03151,0.04444,1.4103,1.3104
square,ghz_n127,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ghz_n40,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ghz_n78,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ghz_state_n255,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ising_n34,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ising_n42,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ising_n420,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ising_n66,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,ising_n98,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,knn_129,2.0.0,2.0.2,12,-5.047,-0.0841,0.7951,1197.589,1290.917,multiplicative,0.03483,0.03509,1.0074,0.9566
square,knn_341,2.0.0,2.0.2,12,-5.789,0.3636,0.2453,2605.433,2364.25,additive,0.0155,0.01832,1.1821,1.1136
square,knn_n31,2.0.0,2.0.2,12,-3.62,-0.1158,0.7201,138.79,138.917,multiplicative,0.03388,0.03942,1.1636,1.1214
square,knn_n41,2.0.0,2.0.2,12,-4.558,-0.243,0.4467,379.944,390.25,multiplicative,0.01944,0.02496,1.2841,1.2256
square,knn_n67,2.0.0,2.0.2,12,-4.594,0.2452,0.4424,614.969,588.917,additive,0.03081,0.03811,1.2371,1.1803
square,multiplier_n45,2.0.0,2.0.2,12,-5.289,-0.1678,0.6021,2008.207,2169.0,multiplicative,0.00863,0.00873,1.0118,0.9583
square,multiplier_n75,2.0.0,2.0.2,12,-4.825,0.1189,0.7129,20756.339,20497.0,additive,0.00593,0.00667,1.1242,1.07
square,qft_n160,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.01007,0.01007,1.0,1.0
square,qft_n29,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.02874,0.02874,1.0,1.0
square,qft_n320,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0109,0.0109,1.0,1.0
square,qft_n63,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.01671,0.01671,1.0,1.0
square,qugan_n111,2.0.0,2.0.2,12,-7.4,0.3608,0.2493,734.861,838.917,multiplicative,0.03903,0.04026,1.0315,0.9552
square,qugan_n39,2.0.0,2.0.2,12,-8.715,-0.1121,0.7287,448.878,493.0,multiplicative,0.04676,0.04886,1.0448,0.9538
square,qugan_n395,2.0.0,2.0.2,12,-5.833,0.1748,0.5868,9462.247,8638.667,additive,0.02363,0.02526,1.0691,1.0068
square,qugan_n71,2.0.0,2.0.2,12,-8.328,-0.1399,0.6646,444.608,521.667,multiplicative,0.03473,0.03547,1.0215,0.9365
square,swap_test_n115,2.0.0,2.0.2,12,-5.956,-0.1086,0.7369,1277.177,1388.25,multiplicative,0.03319,0.03335,1.0049,0.945
square,swap_test_n361,2.0.0,2.0.2,12,-4.898,-0.1751,0.5862,3477.358,3505.667,multiplicative,0.01765,0.01864,1.0566,1.0049
square,swap_test_n41,2.0.0,2.0.2,12,-4.558,-0.243,0.4467,379.944,390.25,multiplicative,0.01944,0.02496,1.2841,1.2256
square,swap_test_n83,2.0.0,2.0.2,12,-5.88,-0.014,0.9656,1006.466,1025.0,multiplicative,0.03455,0.03847,1.1134,1.048
square,wstate_n118,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,wstate_n36,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,wstate_n380,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
square,wstate_n76,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
