id,status,tier,section,claim,value,numerator,denominator,sampling_unit,ci_lo,ci_hi,ci_method,source
s48.error.bv_n70,LIVE,RAW,48,bv_n70: rate at which the 3-run unseeded protocol returns the WRONG verdict on the real 1.4.3 -> 2.0.0 change,0.001496,,200,seed (200 per arm); rate is exact over 200**3 sum-tuples,0.000196,0.004053,"seed bootstrap B=400 joint, 95%; point exact by integer rule","results/raw/deep_bv_n70_q{143,200}.jsonl"
s48.truth.bv_n70,LIVE,RAW,48,"bv_n70: true mean change, 1.4.3 -> 2.0.0, 200 seeds/arm (REGRESSION)",30.295,,200,seed,28.525,32.139,"percentile bootstrap over seeds, B=4000, 95%","results/raw/deep_bv_n70_q{143,200}.jsonl"
s48.error.adder_n64,LIVE,RAW,48,adder_n64: rate at which the 3-run unseeded protocol returns the WRONG verdict on the real 1.4.3 -> 2.0.0 change,0.215973,,200,seed (200 per arm); rate is exact over 200**3 sum-tuples,0.152316,0.289732,"seed bootstrap B=400 joint, 95%; point exact by integer rule","results/raw/deep_adder_n64_q{143,200}.jsonl"
s48.truth.adder_n64,LIVE,RAW,48,"adder_n64: true mean change, 1.4.3 -> 2.0.0, 200 seeds/arm (REGRESSION)",10.818,,200,seed,10.567,11.071,"percentile bootstrap over seeds, B=4000, 95%","results/raw/deep_adder_n64_q{143,200}.jsonl"
s48.error.qft_n29,LIVE,RAW,48,qft_n29: rate at which the 3-run unseeded protocol returns the WRONG verdict on the real 1.4.3 -> 2.0.0 change,7.3e-05,,200,seed (200 per arm); rate is exact over 200**3 sum-tuples,5e-06,0.00026,"seed bootstrap B=400 joint, 95%; point exact by integer rule","results/raw/deep_qft_n29_q{143,200}.jsonl"
s48.truth.qft_n29,LIVE,RAW,48,"qft_n29: true mean change, 1.4.3 -> 2.0.0, 200 seeds/arm (NO_REGRESSION)",0.491,,200,seed,-0.007,0.994,"percentile bootstrap over seeds, B=4000, 95%","results/raw/deep_qft_n29_q{143,200}.jsonl"
s38.heavyhex.unstable.WITHDRAWN,WITHDRAWN,n/a,38 -> 41,26.9% of heavy-hex circuits have a seed-dependent regression verdict,0.269,14,52,circuit,0.168,0.403,"Wilson score, 95%","withdrawn by sec 41: direction artifact, 0/52 in the real direction"
s31.qft_n320.rate.WITHDRAWN,WITHDRAWN,n/a,31 -> 38,qft_n320 is miscalled 27.1% of the time,0.271,,12,seed,0.017,0.631,"seed bootstrap B=2000, 95%",withdrawn by sec 38: interval spans 1.7%-63.1% at n=12
s32.paired.column.WITHDRAWN,WITHDRAWN,n/a,32 -> 40,pairing removes every false positive across all 51 circuits,0.0,0,51,none — an identity,,,none,withdrawn by sec 40: the column is 1[effect >= threshold]
s34.paired.k1.WITHDRAWN,WITHDRAWN,n/a,34 -> 40,pairing achieves 0.0% false positives at k=1,0.0,,,none — an identity,,,none,withdrawn by sec 40
s31.single_commit.WITHDRAWN,WITHDRAWN,n/a,31 -> 39,"2.0.0 vs 2.0.2 isolates a single commit, PR #14417",,31,64,commits / files changed,,,"none — a git fact, verified against the GitHub compare API","withdrawn by sec 39: 31 commits, 64 files, one touching SabreLayout"
