topology,circuit,qiskit_old,qiskit_new,n_seeds,mean_change_pct,spearman_old_vs_ratio,spearman_p,rss_multiplicative,rss_additive,better_fit,cv_old,cv_new,cv_ratio,sd_ratio
heavy-hex,qugan_n39,2.0.0,2.0.2,12,-10.914,0.5944,0.0415,858.618,619.667,additive,0.04455,0.05845,1.3121,1.1689
heavy-hex,qugan_n395,2.0.0,2.0.2,12,-5.336,0.6713,0.0168,4972.81,2510.667,additive,0.03292,0.03449,1.0476,0.9917
heavy-hex,qugan_n71,2.0.0,2.0.2,12,-8.819,0.6573,0.0202,1066.314,736.917,additive,0.03567,0.04185,1.1732,1.0698
heavy-hex,swap_test_n115,2.0.0,2.0.2,12,-6.431,-0.1821,0.571,1493.073,1570.667,multiplicative,0.0287,0.03011,1.049,0.9816
heavy-hex,swap_test_n361,2.0.0,2.0.2,12,-5.414,0.7832,0.0026,8370.74,5904.917,additive,0.03596,0.03992,1.1099,1.0498
heavy-hex,swap_test_n41,2.0.0,2.0.2,12,-7.698,0.4273,0.1659,554.798,488.917,additive,0.05182,0.06544,1.2628,1.1656
heavy-hex,swap_test_n83,2.0.0,2.0.2,12,-6.227,0.7063,0.0102,901.362,592.0,additive,0.05067,0.06027,1.1895,1.1154
heavy-hex,wstate_n118,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,wstate_n36,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
heavy-hex,wstate_n380,2.0.0,2.0.2,12,-2.108,0.3427,0.2756,2453.645,2027.667,additive,0.03603,0.03693,1.0249,1.0033
heavy-hex,wstate_n76,2.0.0,2.0.2,12,0.0,,,0.0,0.0,tie,0.0,0.0,,
