circuit,n_old,n_new,old_min,old_max,new_min,new_max,old_mean,new_mean,mean_change_pct,p_call_single,p_call_k_runs,verdict_single,verdict_k_runs
cc_n151,12,12,768,913,780,921,848.2,862.8,1.71,0.1181,0.0125,UNSTABLE,STABLE_CLEAN
swap_test_n41,12,12,246,267,260,278,256.5,268.8,4.78,0.0347,0.003,STABLE_CLEAN,STABLE_CLEAN
knn_341,12,12,2641,2800,2813,2956,2713.5,2880.2,6.15,0.0556,0.002,UNSTABLE,STABLE_CLEAN
knn_n41,12,12,246,267,260,278,256.5,268.8,4.78,0.0347,0.002,STABLE_CLEAN,STABLE_CLEAN
adder_n433,12,12,7041,7596,7539,7954,7378.5,7761.8,5.2,0.0556,0.0015,UNSTABLE,STABLE_CLEAN
swap_test_n361,12,12,3460,3685,3657,3879,3627.9,3814.8,5.15,0.0625,0.0015,UNSTABLE,STABLE_CLEAN
adder_n28,12,12,318,348,330,360,329.2,341.8,3.85,0.0417,0.0005,STABLE_CLEAN,STABLE_CLEAN
cc_n301,12,12,1862,2097,1896,2121,1996.2,2029.8,1.68,0.0556,0.0005,UNSTABLE,STABLE_CLEAN
100,12,12,75696,76662,75702,76662,76260.2,76266.8,0.01,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
32,12,12,3588,3702,3588,3702,3635.5,3635.5,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n130,12,12,129,129,129,129,129.0,129.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n260,12,12,259,259,259,259,259.0,259.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n35,12,12,34,34,34,34,34.0,34.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
cat_n65,12,12,64,64,64,64,64.0,64.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n127,12,12,126,126,126,126,126.0,126.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n40,12,12,39,39,39,39,39.0,39.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_n78,12,12,77,77,77,77,77.0,77.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ghz_state_n255,12,12,254,254,254,254,254.0,254.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n34,12,12,66,66,66,66,66.0,66.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n42,12,12,82,82,82,82,82.0,82.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n420,12,12,838,838,838,838,838.0,838.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n66,12,12,130,130,130,130,130.0,130.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
ising_n98,12,12,194,194,194,194,194.0,194.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n350,3,3,468170,473462,488816,493786,471241.3,491722.0,4.35,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n400,2,2,616097,625328,642043,652196,620712.5,647119.5,4.25,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n45,12,12,5622,5820,5944,6152,5756.8,6078.2,5.58,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
multiplier_n75,12,12,17484,17854,18408,18748,17702.7,18600.2,5.07,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n160,12,12,12550,12945,12550,12945,12753.5,12753.5,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n29,12,12,1193,1338,1193,1338,1263.8,1263.8,0.0,0.0069,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n320,12,12,27968,28954,27968,28954,28525.2,28525.2,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
qft_n63,12,12,3925,4155,3925,4155,4033.0,4033.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
square_root_n45,9,9,157034,158281,163130,164393,157782.8,163748.3,3.78,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
vqe_uccsd_n28,3,3,237243,239051,247719,251173,238145.7,249558.3,4.79,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n118,12,12,234,234,234,234,234.0,234.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n36,12,12,70,70,70,70,70.0,70.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n380,12,12,758,758,758,758,758.0,758.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
wstate_n76,12,12,150,150,150,150,150.0,150.0,0.0,0.0,0.0,STABLE_CLEAN,STABLE_CLEAN
